stage_hpf,p5,p50,p95,n
0.25,680.5242580823835,1311.002967091213,2292.062627790178,0
0.75,680.5242580823833,1311.0029670912122,2292.062627790178,0
1.25,680.5242580823835,1311.0029670912133,2292.0626277901792,0
1.75,680.5242580823835,1311.0029670912133,2292.0626277901792,0
2.25,680.5242580823835,1311.0029670912133,2292.0626277901792,0
2.75,680.5242580823835,1311.0029670912133,2292.0626277901792,0
3.25,680.5242580823835,1311.0029670912133,2292.0626277901792,0
3.75,680.5242580823835,1311.0029670912133,2292.0626277901792,0
4.25,680.5242580823835,1311.0029670912133,2292.0626277901792,0
4.75,680.5242580823835,1311.0029670912133,2292.0626277901792,0
5.25,680.5242580823835,1311.0029670912133,2292.0626277901792,0
5.75,680.5242580823835,1311.0029670912133,2292.0626277901792,0
6.25,680.5242580823835,1311.0029670912133,2292.0626277901792,0
6.75,680.5242580823835,1311.0029670912133,2292.0626277901792,0
7.25,680.5242580823835,1311.0029670912133,2292.0626277901792,0
7.75,680.5242580823835,1311.0029670912133,2292.0626277901792,0
8.25,680.5242580823835,1311.0029670912133,2292.0626277901792,0
8.75,680.5242580823835,1311.0029670912133,2292.0626277901792,0
9.25,680.5242580823835,1311.0029670912133,2292.0626277901792,0
9.75,680.3946628983449,1280.5707051617565,2294.5909287863346,0
10.25,688.7475125184728,1404.219773183925,2286.143273062045,20
10.75,662.1481467522538,1538.486266906359,2270.461891389069,16
11.25,603.875534446818,1769.101661969282,2219.7036114026832,16
11.75,555.4343464640478,1897.7670068270836,2215.859914454574,19
12.25,486.54993956068165,2087.998332903369,2288.4310983320343,25
12.75,424.7604381186828,2186.1983245657175,2401.6934494806933,20
13.25,369.086039087776,2256.9032931659503,2430.0624927352383,20
13.75,535.5622772082899,2206.006675737352,2404.3304836697894,20
14.25,620.79281912439,2125.578022308542,2373.3114999415457,20
14.75,494.1340946036531,1929.4186715443036,2381.735372313512,25
15.25,200.03681690892773,1714.6186707856377,2213.155567349896,20
15.75,119.91421955677569,1580.0118107865183,1976.0863149561637,20
16.25,174.62527388172137,1638.251815924149,1783.5737924822427,20
16.75,214.91968716519955,1632.4188597628893,1749.1882282626866,25
17.25,256.229550531262,1607.0376662803828,1838.1864320631832,20
17.75,287.20525868999044,1676.5954408831788,1992.053907240264,20
18.25,323.5268427750137,1800.0116491048527,2126.301213555772,20
18.75,328.6022742069465,1803.0591837649513,2096.2676646897257,20
19.25,338.8498455340497,1672.5266015861182,1987.8654496701865,25
19.75,282.52731443827196,1767.074076603868,2176.0474737100294,20
20.25,224.4321974591532,2137.016621956537,2520.353224762047,20
20.75,188.9221058920233,2503.4107547743415,2777.5592311057685,20
21.25,190.4990076578439,2596.729320865497,2710.947533476056,20
21.75,194.40226345278498,2578.6610868602297,2662.8507395969896,20
22.25,205.02114561812283,2510.381614170004,2650.250697889167,25
22.75,235.65014961540723,2395.990923177003,2715.1545694334027,18
23.25,276.46737963764116,2214.5536751175378,2802.2479008342557,17
23.75,321.955047427637,2286.3790437654297,2795.1370847544135,18
24.25,317.7991791005019,2427.8220499806785,2757.3308230247226,19
24.75,314.8482201800677,2559.0262585877454,2735.4115954260083,24
25.25,305.62278138656177,2467.909883911787,2740.3149949135254,35
25.75,315.3049586747868,2407.6337270447493,2735.483615873386,34
26.25,375.23316704430624,2351.0962617128544,2711.998268123643,33
26.75,375.680511901795,2352.7290649713555,2687.3508940994484,35
27.25,341.4246981433682,2316.3678312103557,2636.0967210697713,38
27.75,317.1265444169917,2348.420412021478,2618.4466493203954,33
28.25,404.5125422917125,2390.732773094341,2616.649897390452,18
28.75,490.5699917165301,2435.4512615324134,2625.107414561188,35
29.25,572.291150396666,2355.083126031983,2608.6898893073458,39
29.75,597.8014228849247,2254.8074306610215,2605.725499773386,33
30.25,442.8375120670414,2236.208567959153,2642.553581005539,34
30.75,218.33877961696442,1440.0369042496086,2558.726682423876,32
31.25,117.89757479026005,1009.3742893931224,2526.1199296986224,19
31.75,165.051281524986,1200.1116723076257,2552.117702566466,34
32.25,186.3748233232369,1946.7237020246685,2622.084721510489,29
32.75,167.51746363888273,1863.1040262883196,2601.118334088791,29
33.25,220.23543627024878,1812.7513787284613,2654.9478477180173,26
33.75,269.6832747298546,1206.579753237098,2586.560159616987,27
34.25,272.3113290327004,1048.7766402738291,2548.167342274709,14
34.75,233.16784313938766,1211.0168121529405,2560.6227392141473,28
35.25,228.58489633221785,1676.103800175386,2705.519466465936,25
35.75,186.0548806966301,1522.5011937193622,2703.5231481091478,27
36.25,132.09053762049803,1485.5223880950327,2701.239626972416,30
36.75,78.81504217206668,1556.419049738347,2712.316067991351,26
37.25,61.53115652453819,994.4276511959765,2701.989777155766,31
37.75,33.27866413717308,739.0423447999699,2696.596745731349,16
38.25,63.05665543712175,1211.7253079351221,2692.6003581963128,33
38.75,133.35780750648507,2264.750577551471,2748.474953377783,28
39.25,181.46732755211798,2473.7432715248556,2705.003740558219,29
39.75,178.52540894690586,2375.1907506024663,2732.754420451039,25
40.25,133.60371439402013,2294.7787937732382,2792.2137241317764,30
40.75,190.62765164794993,2211.13823669696,2897.9421842206198,29
41.25,495.59156041234564,2118.457169197587,2846.735080733504,24
41.75,780.1174710628275,2101.255215681275,2771.819361851672,37
42.25,753.6884117721728,2149.815218889541,2683.413973232973,37
42.75,478.1248195991862,1896.5024803781057,2659.723640316656,34
43.25,555.7822454312029,1709.437045874659,2639.2057245033734,27
43.75,982.273787778264,1982.6271288348703,2673.7423945072833,35
44.25,1371.794721179364,2308.112739083197,2709.837010459642,31
44.75,1431.9164759590296,2390.1604837278937,2706.305069983691,20
45.25,1475.698464015904,2239.9108342358973,2690.3947457328786,33
45.75,1163.488477542936,2281.7936414991964,2739.424553101057,34
46.25,671.4908852786776,2149.67042755755,2733.1149614994865,35
46.75,315.02666899542226,2235.044238058423,2742.5590505541704,26
47.25,362.5277689193032,2278.353628082684,2829.831206624448,32
47.75,338.8856427735699,2343.326131097565,2876.1103412413463,20
48.25,303.1969039240137,2268.582464640658,2794.3312055015717,30
48.75,325.7116779346332,2323.571798405353,2711.3121630070495,30
49.25,740.6723469329727,2359.9776350579764,2806.6398294151004,23
49.75,871.4360625306406,2340.1239338489804,2842.2871664266095,29
50.25,764.6677795082867,2209.845825466591,2818.1407404416905,29
50.75,265.6815427554403,2267.402358617161,2805.0374679493216,23
51.25,913.2163715610691,2396.8189009733687,2852.3390071272715,13
51.75,1796.884999457312,2469.0470409981835,2864.4120437009233,19
52.25,2081.492143823213,2457.7495819100495,2885.5613785086334,19
52.75,1633.6537454650224,2489.326576385009,2935.632394401975,19
53.25,1776.2202384249695,2617.4307917939886,2973.6366209767975,20
53.75,2270.2795821854443,2680.8875782895757,2970.7297109491165,6
54.25,2367.3084498853354,2624.061250534886,2981.153177536973,1
54.75,2323.6561230422913,2579.73337303362,2974.0334328732383,8
55.25,2330.1643232352826,2607.6531983447667,2997.997559555587,6
55.75,2339.55162639027,2639.7840008570083,3033.7512892500313,8
56.25,2331.9934438888067,2546.9342782751473,3016.9998735181885,8
56.75,2361.396898520612,2568.2753539306123,2987.753242035422,7
57.25,2375.351548167268,2583.6839559580585,2968.0300123854527,8
57.75,2374.0758708008148,2577.5667601229734,2936.7304304467298,0
58.25,2398.7419000490518,2573.4899633199952,2916.691151794679,6
58.75,2438.134685437147,2613.339308340467,2936.025402156705,6
59.25,2470.0015747098337,2642.631679007288,2948.3254589612657,4
59.75,2471.669694965219,2612.1782782002333,2908.3519747180417,4
60.25,2480.209918688056,2588.0206692650145,2874.0237945223653,3
60.75,2484.95175417517,2584.748827042295,2857.015018028551,5
61.25,2484.3125396616792,2611.0651543289505,2864.5420634457096,4
61.75,2479.8749369124653,2658.267248328105,2889.388512564732,0
62.25,2476.386931222182,2700.247900649135,2909.9051107582877,4
62.75,2472.8989255318984,2742.228552970165,2930.4217089518434,4
63.25,2469.410919841615,2784.209205291195,2950.9383071453994,4
63.75,2473.6746320043176,2862.30831569382,2976.148321490079,4
64.25,2438.8841393712037,2755.9891858297765,2978.536284454156,5
64.75,2392.356579106667,2604.7764252645156,2970.5217696662994,5
65.25,2360.4405662246418,2537.3561747547683,2971.764094063036,0
65.75,2369.1321393893677,2680.6901084965493,2970.6875906831638,6
66.25,2366.92783954237,2670.488409372474,2945.563076897447,7
66.75,2360.793257721314,2565.608466040744,2926.290684450345,7
67.25,2344.8399249762388,2495.056819827849,2941.8713817859507,7
67.75,2330.060872816277,2514.302945565126,2951.45752856928,8
68.25,2321.6727782979815,2481.125414157475,2931.644945330404,0
68.75,2319.9979310020653,2522.201915354499,2920.265643102807,7
69.25,2313.401265129807,2545.6348246437396,3010.7590942230636,6
69.75,2303.0399579588366,2517.2229934953157,3060.310350138334,8
70.25,2284.033048810049,2398.5708696608294,3023.4351234185,8
70.75,2263.8650604276495,2436.14495813352,2954.2938742891033,6
71.25,2248.9196719872875,2562.5180441940656,2980.3132491100823,0
71.75,2238.683855558266,2678.6624805746974,3014.380142927331,6
72.25,2223.1562363593976,2614.7841271772413,3032.8419411262003,6
72.75,2204.8341262064732,2486.603093464434,3049.07570724855,5
73.25,2193.3565178230597,2431.18211318406,3060.634871168648,5
73.75,2189.918959143438,2450.6703316049325,3068.528893849286,4
74.25,2191.1504408156634,2449.919156897533,3066.446348815817,4
74.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
75.25,2191.1504408156634,2449.919156897533,3066.446348815817,4
75.75,2191.1504408156634,2449.919156897533,3066.446348815817,4
76.25,2191.1504408156634,2449.919156897533,3066.446348815817,4
76.75,2191.1504408156634,2449.919156897533,3066.446348815817,4
77.25,2191.1504408156634,2449.919156897533,3066.446348815817,4
77.75,2191.1504408156634,2449.919156897533,3066.446348815817,4
78.25,2191.1504408156634,2449.919156897533,3066.446348815817,4
78.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
79.25,2191.1504408156634,2449.919156897533,3066.446348815817,4
79.75,2191.1504408156634,2449.919156897533,3066.446348815817,2
80.25,2191.1504408156634,2449.919156897533,3066.446348815817,2
80.75,2191.1504408156634,2449.919156897533,3066.446348815817,2
81.25,2191.1504408156634,2449.919156897533,3066.446348815817,2
81.75,2191.1504408156634,2449.919156897533,3066.446348815817,2
82.25,2191.1504408156634,2449.919156897533,3066.446348815817,2
82.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
83.25,2191.1504408156634,2449.919156897533,3066.446348815817,2
83.75,2191.1504408156634,2449.919156897533,3066.446348815817,2
84.25,2191.1504408156634,2449.919156897533,3066.446348815817,2
84.75,2191.1504408156634,2449.919156897533,3066.446348815817,2
85.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
85.75,2191.1504408156634,2449.919156897533,3066.446348815817,2
86.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
86.75,2191.1504408156634,2449.919156897533,3066.446348815817,2
87.25,2191.1504408156634,2449.919156897533,3066.446348815817,1
87.75,2191.1504408156634,2449.919156897533,3066.446348815817,1
88.25,2191.1504408156634,2449.919156897533,3066.446348815817,1
88.75,2191.1504408156634,2449.919156897533,3066.446348815817,2
89.25,2191.1504408156634,2449.919156897533,3066.446348815817,1
89.75,2191.1504408156634,2449.919156897533,3066.446348815817,1
90.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
90.75,2191.1504408156634,2449.919156897533,3066.446348815817,1
91.25,2191.1504408156634,2449.919156897533,3066.446348815817,1
91.75,2191.1504408156634,2449.919156897533,3066.446348815817,1
92.25,2191.1504408156634,2449.919156897533,3066.446348815817,1
92.75,2191.1504408156634,2449.919156897533,3066.446348815817,1
93.25,2191.1504408156634,2449.919156897533,3066.446348815817,1
93.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
94.25,2191.1504408156634,2449.919156897533,3066.446348815817,1
94.75,2191.1504408156634,2449.919156897533,3066.446348815817,1
95.25,2191.1504408156634,2449.919156897533,3066.446348815817,1
95.75,2191.1504408156634,2449.919156897533,3066.446348815817,1
96.25,2191.1504408156634,2449.919156897533,3066.446348815817,1
96.75,2191.1504408156634,2449.919156897533,3066.446348815817,1
97.25,2191.1504408156634,2449.919156897533,3066.446348815817,1
97.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
98.25,2191.1504408156634,2449.919156897533,3066.446348815817,1
98.75,2191.1504408156634,2449.919156897533,3066.446348815817,1
99.25,2191.1504408156634,2449.919156897533,3066.446348815817,1
99.75,2191.1504408156634,2449.919156897533,3066.446348815817,1
100.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
100.75,2191.1504408156634,2449.919156897533,3066.446348815817,1
101.25,2191.1504408156634,2449.919156897533,3066.446348815817,1
101.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
102.25,2191.1504408156634,2449.919156897533,3066.446348815817,1
102.75,2191.1504408156634,2449.919156897533,3066.446348815817,2
103.25,2191.1504408156634,2449.919156897533,3066.446348815817,2
103.75,2191.1504408156634,2449.919156897533,3066.446348815817,1
104.25,2191.1504408156634,2449.919156897533,3066.446348815817,1
104.75,2191.1504408156634,2449.919156897533,3066.446348815817,2
105.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
105.75,2191.1504408156634,2449.919156897533,3066.446348815817,2
106.25,2191.1504408156634,2449.919156897533,3066.446348815817,2
106.75,2191.1504408156634,2449.919156897533,3066.446348815817,2
107.25,2191.1504408156634,2449.919156897533,3066.446348815817,2
107.75,2191.1504408156634,2449.919156897533,3066.446348815817,1
108.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
108.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
109.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
109.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
110.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
110.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
111.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
111.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
112.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
112.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
113.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
113.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
114.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
114.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
115.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
115.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
116.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
116.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
117.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
117.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
118.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
118.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
119.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
119.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
120.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
120.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
121.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
121.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
122.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
122.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
123.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
123.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
124.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
124.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
125.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
125.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
126.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
126.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
127.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
127.75,2191.1504408156634,2449.919156897533,3066.446348815817,0
128.25,2191.1504408156634,2449.919156897533,3066.446348815817,0
128.75,2191.150440815664,2449.919156897533,3066.446348815816,0
129.25,2191.1504408156643,2449.919156897534,3066.446348815817,0
