rank,embryo_id,avg_surface_area_um
1,20251119_H03_e01,1123005.8664153847
2,20251119_G03_e01,1095040.9273761904
3,20251119_B01_e01,1057735.259215
4,20251119_E02_e01,1010786.3442178571
5,20251119_D03_e01,997440.7400394737
6,20251119_G02_e01,982753.2588333333
7,20251119_C03_e01,978131.2893243242
8,20251119_H02_e01,964885.944773077
9,20251119_G04_e01,962774.6242491803
10,20251119_B02_e01,958615.2112653333
11,20251119_F01_e01,957017.8097674999
12,20251119_D04_e01,955199.2536937499
13,20251119_C02_e01,952730.4553083334
14,20251119_H01_e01,940755.1230250001
15,20251119_A02_e01,935854.3360410959
16,20251119_A03_e01,934661.0791452382
17,20251119_F03_e01,926730.6614164558
18,20251119_E04_e01,925093.8976076923
19,20251119_C04_e01,921537.1605293334
20,20251119_H04_e01,908577.7825031746
21,20251119_G01_e01,904474.5331731708
22,20251119_D02_e01,894084.0200518519
23,20251119_F04_e01,893514.8328928571
24,20251119_C01_e01,879217.9146142857
25,20251119_B03_e01,849999.290727381
26,20251119_E01_e01,783504.0606076923
